src,dest
BDNF,TEK
BECN1,GABARAP
BECN1,GABARAPL1
BECN1,GABARAPL2
BID,BAX
BID,CYCS
BIRC2,RIPK1
BIRC2,RIPK2
BIRC2,TRAF3
BIRC3,RIPK1
BIRC3,RIPK2
BIRC3,TRAF3
BLNK,GRB2
BLNK,PLCG2
BMP2,ACVR1
BMP2,AMHR2
BMP2,BMPR1A
BMP2,BMPR1B
BMP2,BMPR2
BMP4,ACVR1
BMP4,AMHR2
BMP4,BMPR1A
BMP4,BMPR1B
BMP4,BMPR2
BMP5,AMHR2
BMP5,BMPR1A
BMP5,BMPR1B
BMP5,BMPR2
BMP6,ACVR1
BMP6,AMHR2
BMP6,BMPR1A
BMP6,BMPR1B
BMP6,BMPR2
BMP7,AMHR2
BMP7,BMPR1A
BMP7,BMPR1B
BMP7,BMPR2
BMP8A,AMHR2
BMP8A,BMPR1A
BMP8A,BMPR1B
BMP8A,BMPR2
BMP8B,AMHR2
BMP8B,BMPR1A
BMP8B,BMPR1B
BMP8B,BMPR2
BMPR1A,ACVR2A
BMPR1A,BMPR2
BMPR1A,HJV
BMPR1A,MAPK1
BMPR1A,MAPK11
BMPR1A,MAPK12
BMPR1A,MAPK13
BMPR1A,MAPK14
BMPR1A,MAPK3
BMPR1A,NEO1
BMPR1A,SMAD1
BMPR1A,SMAD5
BMPR1A,SMAD9
BMPR1B,ACVR2A
BMPR1B,BMPR2
BMPR1B,HJV
BMPR1B,MAPK1
BMPR1B,MAPK11
BMPR1B,MAPK12
BMPR1B,MAPK13
BMPR1B,MAPK14
BMPR1B,MAPK3
BMPR1B,NEO1
BMPR1B,SMAD1
BMPR1B,SMAD5
BMPR1B,SMAD9
BMPR2,MAPK1
BMPR2,MAPK11
BMPR2,MAPK12
BMPR2,MAPK13
BMPR2,MAPK14
BMPR2,MAPK3
BMPR2,SMAD1
BMPR2,SMAD5
BMPR2,SMAD9
BORCS8-MEF2B,KLF2
BRAF,MAP2K1
BRAF,MAP2K2
BRAP,KSR1
BRAP,KSR2
BTC,EGFR
BTC,ERBB4
BTRC,CTNNB1
BTRC,GLI1
BTRC,GLI2
BTRC,GLI3
BTRC,SKP1
BTRC,WWTR1
BTRC,YAP1
CAB39,CAB39L
CAB39,PRKAA1
CAB39,PRKAA2
CAB39,PRKAB1
CAB39,PRKAB2
CAB39,PRKAG1
CAB39,PRKAG2
CAB39,PRKAG3
CAB39,STK11
CAB39,STRADA
CAB39,STRADB
CAB39L,PRKAA1
CAB39L,PRKAA2
CAB39L,PRKAB1
CAB39L,PRKAB2
CAB39L,PRKAG1
